rank,machine_id,timestamp,lstm_probability,lstm_prediction,vibration,temperature,current,pressure,risk_probability,risk_level
1,M013,2026-06-22 01:00:00,0.6606448762750066,1,1.16755365144254,69.3005321408058,15.739833207843445,81.11599941707561,0.6606448762750066,HIGH
2,M002,2026-06-12 09:00:00,0.6586732152479116,1,1.452008426378074,79.08004952650874,17.323257043168088,85.18143439587382,0.6586732152479116,HIGH
3,M014,2026-06-24 22:00:00,0.6480625551348154,1,1.1687737272724823,77.99139528017541,17.841055978480373,87.28523541640945,0.6480625551348154,HIGH
4,M001,2026-06-12 17:00:00,0.6295831916486176,1,1.2805779414475476,79.40457678771968,14.174749042291706,81.06705496879135,0.6295831916486176,HIGH
5,M034,2026-06-30 23:00:00,0.0064971951479602,0,0.3282916252430297,57.86524993967879,12.54822390253812,95.6683097406589,0.0064971951479602,LOW
6,M008,2026-06-30 23:00:00,0.0060086394138344,0,0.2373880766844783,54.54221517171241,12.168433116157082,98.43207277895688,0.0060086394138344,LOW
7,M033,2026-06-30 23:00:00,0.0060071972794498,0,0.3828288067786181,55.69403908513406,11.990507283155011,100.89392524822502,0.0060071972794498,LOW
8,M017,2026-06-30 23:00:00,0.006005907358561,0,0.3096341915810335,53.64987432931638,11.527664938762134,100.39828554861012,0.006005907358561,LOW
9,M012,2026-06-30 23:00:00,0.0060033271307092,0,0.2349910863707662,53.42961467766721,12.883932118481336,104.99792863802044,0.0060033271307092,LOW
10,M038,2026-06-30 23:00:00,0.0060005155540643,0,0.4602483063954712,56.249621720594696,11.703218865342285,100.68910951781407,0.0060005155540643,LOW
