machine_id,timestamp,lstm_probability,lstm_prediction,sensor_abnormality,trend_score,vibration,temperature,current,pressure,risk_score,risk_level,risk_rank
M014,2026-06-24 22:00:00,0.6734321618718245,1,0.41875053945518254,0.6591646221940202,1.1687737272724823,77.99139528017541,17.841055978480373,87.28523541640945,0.6076216253159934,HIGH,1
M002,2026-06-12 09:00:00,0.6681918658299222,1,0.4224154330826445,0.6422110102242531,1.452008426378074,79.08004952650874,17.323257043168088,85.18143439587382,0.6028506293022524,HIGH,2
M018,2026-06-15 13:00:00,0.66832268676681,1,0.4055953015579365,0.6650512920215137,1.472265262513119,75.3331877706218,17.747568537464396,85.85352235506043,0.6021501312527971,HIGH,3
M006,2026-06-06 17:00:00,0.6677114277417375,1,0.3786581981820054,0.6880748957948877,1.4283472293885005,70.75188096225453,16.706476078723966,79.37518657236451,0.598502640559777,MEDIUM,4
M003,2026-06-15 09:00:00,0.6675594644653323,1,0.3843569226791561,0.6702154205158563,1.0848093027206596,78.86613938989892,15.631056523995134,82.0012578972888,0.5971572224263668,MEDIUM,5
M010,2026-06-29 19:00:00,0.672819928135718,1,0.3391118840704803,0.7082930462383863,1.425935448642129,74.14144134733581,16.785904804828164,93.84920946590526,0.5947138848348088,MEDIUM,6
M016,2026-06-30 01:00:00,0.6675679919433197,1,0.4131757401657339,0.5751576382267908,1.1757995040136495,76.94240679355276,17.572316891061476,85.54508418510885,0.5901083759414439,MEDIUM,7
M015,2026-06-24 21:00:00,0.6698235986635631,1,0.31838186650107303,0.6971653050146609,1.035819813433694,70.96089689033319,15.424918603657776,82.4233017873363,0.5860644215756052,MEDIUM,8
M036,2026-06-25 15:00:00,0.6663811304500578,1,0.35972901652311023,0.5532898110285901,1.4166286624696427,77.39484784165646,15.728127819916546,84.77796040536941,0.5727544040551007,MEDIUM,9
M030,2026-06-16 12:00:00,0.667914813271617,1,0.3022831437402671,0.6308172372365912,1.4188859421080324,70.47573649968182,15.972581303837895,87.36549614547192,0.5709422594835256,MEDIUM,10
M022,2026-06-28 06:00:00,0.6690738941184906,1,0.383633014703662,0.4709456326754221,1.3902804666911404,72.01595892539027,17.62980788600518,84.94831276369726,0.5679944350483231,MEDIUM,11
M029,2026-06-10 00:00:00,0.6698401089542557,1,0.3196049970034117,0.5736287378751087,1.4498962058780829,73.1299312780946,16.110063709465106,88.36060458109043,0.5678496253046726,MEDIUM,12
M031,2026-06-30 23:00:00,0.6677365328594709,1,0.4738156617065795,0.31810507824863066,1.173121120885846,78.94884493717277,17.222168310690336,76.26830980739794,0.566811596879622,MEDIUM,13
M032,2026-06-13 17:00:00,0.65712917475772,1,0.37675520670999985,0.5067009692517856,1.419880011422141,79.58736201206378,14.179974983494516,80.67615208304434,0.5644714519198998,MEDIUM,14
M027,2026-06-17 23:00:00,0.6653119904090223,1,0.35179052012256506,0.4976970453471524,1.4470754546417628,78.80155656122015,15.170598691669085,84.68229825354298,0.5617893810781275,MEDIUM,15
M013,2026-06-22 01:00:00,0.6703092142201051,1,0.3301861105713922,0.5067599447199851,1.16755365144254,69.3005321408058,15.739833207843445,81.11599941707561,0.5607460478829088,MEDIUM,16
M001,2026-06-12 17:00:00,0.6605528297973107,1,0.37300645492876605,0.4241137258679725,1.2805779414475476,79.40457678771968,14.174749042291706,81.06705496879135,0.5532003704907738,MEDIUM,17
M037,2026-06-06 16:00:00,0.6719881007010879,1,0.3258748896516778,0.4337435493617833,1.5628792021662266,72.30865838617478,15.935437822665389,85.48748610367052,0.5497231152378397,MEDIUM,18
M024,2026-06-12 02:00:00,0.6679812666959833,1,0.3983856809858658,0.32590710364482695,1.5868122028595888,72.79220031406633,16.19890974386091,75.84356241607165,0.5492712458107805,MEDIUM,19
M039,2026-06-15 01:00:00,0.667949043828743,1,0.34776234567643227,0.402680222030825,1.3416395369577998,77.89154338103788,15.962597733561667,88.51078599195255,0.5481120460209776,MEDIUM,20
M033,2026-06-30 23:00:00,0.0049161786815785,0,0.0,0.4092627923711806,0.3828288067786181,55.69403908513406,11.990507283155011,100.89392524822502,0.06433912606462419,LOW,21
M005,2026-06-30 23:00:00,0.0049055612268763,0,0.0,0.3986486782168729,0.460504508454229,53.96127840049792,11.282857619489768,97.483855963581,0.06274063846865671,LOW,22
M000,2026-06-30 23:00:00,0.0049135232204491,0,0.0,0.3905466793086506,0.4777409681096696,54.10050684460486,10.71415738507734,102.65314876078372,0.061530115828567045,LOW,23
M007,2026-06-30 23:00:00,0.005077661012707,0,0.0,0.3402566426940663,0.3384854119414747,56.02188972327392,11.748557332626463,98.52996195058374,0.05408509301173414,LOW,24
M009,2026-06-30 23:00:00,0.0048834416209588,0,0.0,0.3209169634412723,0.5023071142298883,52.15849432731904,12.543591474292931,98.54057161533314,0.051067609488766125,LOW,25
M034,2026-06-30 23:00:00,0.0063206045553418,0,0.0,0.3085392669940379,0.3282916252430297,57.86524993967879,12.54822390253812,95.6683097406589,0.05007325278231076,LOW,26
M028,2026-06-30 23:00:00,0.0049904306122677,0,0.0,0.2730621006549626,0.5464919727448777,55.77520161933127,11.28052227458613,99.90581908105428,0.04395357346560501,LOW,27
M023,2026-06-30 23:00:00,0.0049061284020479,0,0.0,0.2523937123539136,0.4048571359929379,54.9170906163218,13.16281841820695,101.88590213857944,0.04080273389431578,LOW,28
M020,2026-06-30 23:00:00,0.0049212337751445,0,0.0,0.22864830959511676,0.327450011616585,54.14679109752837,11.944262715425884,103.13490278088165,0.03724998670435421,LOW,29
M011,2026-06-30 23:00:00,0.0051464566586551,0,0.0,0.22747533285799684,0.3633040894624308,59.993839534586265,12.144780753546367,95.70773966200524,0.037209173923892586,LOW,30
